,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
A BANDA A YEKE A ZO TI TENE NGO KETE TENE, frère centrafricain,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
UN ANIMAL,Soeur; ,UN ANIMAL,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
HAINE,Mon frère de chœur; ,HAINE,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Prostituée;,TU ES UN BANDA,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,non déchiffré,VAGIN DE TA MERE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
PERE,Villageois,PERE,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,tôt ou tard nous allons vous exterminer,QUALIFICATION NEFASTE,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
BORDELLE,de l'ethnique banda,BORDELLE,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Un poulet  cherche de maison ; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
Salete,Femme; ,Salete,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
Simple Banda,Milice musulman; ,Simple Banda,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",mon ami,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Nos frères; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
I mo na i gbongo,nos frères qui ont utilisé les armes contre leurs frères,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Ma soeur; ,"Zanga ,Kodjos,Djrif",,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
fetiche,Tu es mon frère,fetiche,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Ma soeur; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
KOTA BE,vous mes frères,KOTA BE,Jalousie,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Mon frère,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,mon frère centrafricain,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
HAINE,frère centrafricain,HAINE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Nos sœurs; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
UN ANIMAL,centrafricain,UN ANIMAL,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
HAINE,mon frère centrafricain,HAINE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
TU ES UN BANDA,Mon frère; ,TU ES UN BANDA,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Nos frères centrafricains ,VAGIN DE TA MERE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
PERE, frère centrafricain,PERE,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Soeur; ,QUALIFICATION NEFASTE,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
BORDELLE,Mon frère de chœur; ,BORDELLE,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Prostituée;,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
Salete,non déchiffré,Salete,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
Simple Banda,Villageois,Simple Banda,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",tôt ou tard nous allons vous exterminer,"Anti Balaka,AK47",Milices chrétiens; ,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",de l'ethnique banda,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
I mo na i gbongo,Un poulet  cherche de maison ; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Femme; ,"Zanga ,Kodjos,Djrif",non déchiffré,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
fetiche,Milice musulman; ,fetiche,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,mon ami,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
KOTA BE,Nos frères; ,KOTA BE,Jalousie,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,nos frères qui ont utilisé les armes contre leurs frères,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Ma soeur; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
HAINE,Tu es mon frère,HAINE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ma soeur; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
UN ANIMAL,vous mes frères,UN ANIMAL,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
HAINE,Mon frère,HAINE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
TU ES UN BANDA,mon frère centrafricain,TU ES UN BANDA,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,frère centrafricain,VAGIN DE TA MERE,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
PERE,Nos sœurs; ,PERE,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,centrafricain,QUALIFICATION NEFASTE,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
BORDELLE,mon frère centrafricain,BORDELLE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Mon frère; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
Salete,Nos frères centrafricains ,Salete,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
Simple Banda, frère centrafricain,Simple Banda,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Soeur; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Mon frère de chœur; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
I mo na i gbongo,Prostituée;,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",non déchiffré,"Zanga ,Kodjos,Djrif",,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
fetiche,Villageois,fetiche,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,tôt ou tard nous allons vous exterminer,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
KOTA BE,de l'ethnique banda,KOTA BE,Jalousie,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Un poulet  cherche de maison ; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Femme; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
HAINE,Milice musulman; ,HAINE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,mon ami,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
UN ANIMAL,Nos frères; ,UN ANIMAL,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
HAINE,nos frères qui ont utilisé les armes contre leurs frères,HAINE,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
TU ES UN BANDA,Ma soeur; ,TU ES UN BANDA,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Tu es mon frère,VAGIN DE TA MERE,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
PERE,Ma soeur; ,PERE,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,vous mes frères,QUALIFICATION NEFASTE,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
BORDELLE,Mon frère,BORDELLE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",mon frère centrafricain,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
Salete,frère centrafricain,Salete,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
Simple Banda,Nos sœurs; ,Simple Banda,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",centrafricain,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",mon frère centrafricain,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Mon frère; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Nos frères centrafricains ,"Zanga ,Kodjos,Djrif",,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
fetiche, frère centrafricain,fetiche,,,,,,,,,,,,,,,,,,,,,,,
LES JEUNES QUI DEFENDENT LES INTERETS DE NOTION,Soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
QUALIFICATION NEGATIVE / ADOLESCENTE,Mon frère de chœur; ,,,,,,,,,,,,,,,,,,,,,,,,
CAR C'EST DES CONSIDERATIONS NEFASTES / ADOLESCENTE,Prostituée;,,,,,,,,,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,non déchiffré,,,,,,,,,,,,,,,,,,,,,,,,
ONG,Villageois,,,,,,,,,,,,,,,,,,,,,,,,
CA CHOQUE,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,,,,,,,,,
TAXI-MOTO,de l'ethnique banda,,,,,,,,,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,,,,,,,,,
CA CHOQUE,Femme; ,,,,,,,,,,,,,,,,,,,,,,,,
CA CREE DE FRUSTRATION,Milice musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
CA CHOQUE,mon ami,,,,,,,,,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Nos frères; ,,,,,,,,,,,,,,,,,,,,,,,,
PARCE QUE C'EST VEXANT / ADOLESCENT,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,,,,,,,,,
CA DECONSIDERE,Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
MEPRIS,Tu es mon frère,,,,,,,,,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
MEPRIS,vous mes frères,,,,,,,,,,,,,,,,,,,,,,,,
INDEXE NEFASTE,Mon frère,,,,,,,,,,,,,,,,,,,,,,,,
CA MEPRISE,mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
Pindougou,frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
Loukoundou,Nos sœurs; ,,,,,,,,,,,,,,,,,,,,,,,,
Gbabara un boteuse,centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
Zanda,mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
Aline momo ladje,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
fosse accusation,Nos frères centrafricains ,,,,,,,,,,,,,,,,,,,,,,,,
ARABO KRIDI, frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
"BA LO , KPANDA !",Soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
Mo yeke Balaka,Mon frère de chœur; ,,,,,,,,,,,,,,,,,,,,,,,,
Mo yeke gagango,Prostituée;,,,,,,,,,,,,,,,,,,,,,,,,
ALA A GA GANGO SO ALA DOUA TI ALA TI ZI YANGA APE,non déchiffré,,,,,,,,,,,,,,,,,,,,,,,,
a mbororo la si a gbou ngombé si a fa na a centrafricain,Villageois,,,,,,,,,,,,,,,,,,,,,,,,
MO SARA TI MO MINGUI,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,,,,,,,,,
Me ne gbangba wi,de l'ethnique banda,,,,,,,,,,,,,,,,,,,,,,,,
BA KOTA YA TI ME TI LO,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,,,,,,,,,
A MAMA YAKOMA SO KA SO,Femme; ,,,,,,,,,,,,,,,,,,,,,,,,
Danga kando,Milice musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
"HE, MO YO AWE",mon ami,,,,,,,,,,,,,,,,,,,,,,,,
"MO ARABO, MO PAYE MBI AWE",Nos frères; ,,,,,,,,,,,,,,,,,,,,,,,,
MO MBORORO,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,,,,,,,,,
"BABA SO, VRAI DJO GBAKO LA",Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
CHEGUE TI MO,Tu es mon frère,,,,,,,,,,,,,,,,,,,,,,,,
"BA LE TI ALA, A MBO TI TOUADERA",Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
"GUI TI MO YANGA TI MBI  APE, GNON LAIT",vous mes frères,,,,,,,,,,,,,,,,,,,,,,,,
KA MOYE MBORORO AH,Mon frère,,,,,,,,,,,,,,,,,,,,,,,,
"MO YEKE GBAYA, ALA A MARA TI BOZ LA , I TI I GBNAKA MANDJA",mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
"NON LO SO APE , LO YEKE ZO TI EGLISE DEKONGO LA",frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
"MO SO . MO ZO LA , wala mo gnama",Nos sœurs; ,,,,,,,,,,,,,,,,,,,,,,,,
"HON LO SO ALA BA LO SO, ZO TI BOZIZE LA",centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
"MO SO MO SIMPLE KORORO SO, EST CE QUE WA TI MOTO NI A INGA MO ?",mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
MO SARA YE GUI TONGANA A MBORORO,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
BA TA KOTA LE TI LO,Nos frères centrafricains ,,,,,,,,,,,,,,,,,,,,,,,,
MO SALA YE SO GUI NA MBANA LA, frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
""" ETHNIE TI ALA SO , MBI YE KA NI APE",Soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
"BA SI , A YORO WIN NA YA TI MO",Mon frère de chœur; ,,,,,,,,,,,,,,,,,,,,,,,,
"OH TA LO SO , LO VOKO TI LO MINGUI",Prostituée;,,,,,,,,,,,,,,,,,,,,,,,,
ALA BA TA ETAT TI LO HEIN AZO,non déchiffré,,,,,,,,,,,,,,,,,,,,,,,,
ALA A POLICIERS,Villageois,,,,,,,,,,,,,,,,,,,,,,,,
BA LO CONGO,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,,,,,,,,,
BA PKANDA LO,de l'ethnique banda,,,,,,,,,,,,,,,,,,,,,,,,
"""ETHNIE  TI ALA A YE VENE MINGUI",Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,,,,,,,,,
A B OUBA TONGANA ALA SO MBI SARA GNE NA ALA...,Femme; ,,,,,,,,,,,,,,,,,,,,,,,,
ALA BA NA MBI MBENI IDIOT TONGA SO,Milice musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
"MO ETRANGER SO KOUE , MO SZA YANGA TI MO NA ZOA ?",mon ami,,,,,,,,,,,,,,,,,,,,,,,,
SO SALANO YE TI KPASSAKARA LA,Nos frères; ,,,,,,,,,,,,,,,,,,,,,,,,
"MONO , GA SI",nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,,,,,,,,,
"HE , TU ES EN INFRACTION",Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
MO GA LAWA NA YA TI QUARTIER NI SO,Tu es mon frère,,,,,,,,,,,,,,,,,,,,,,,,
VENE LA OOH !,Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
LIKOUNDOU TI MO A TE MBI APE,vous mes frères,,,,,,,,,,,,,,,,,,,,,,,,
BA O BOUBA ZO,Mon frère,,,,,,,,,,,,,,,,,,,,,,,,
A LA A ZO TI BOZIZE SO MA,mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
DOYONRO TI MO,frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
A WALI KATA SO,Nos sœurs; ,,,,,,,,,,,,,,,,,,,,,,,,
"LO OME LANGBE NA MILIEU ZO , ALA YE TI FA KA KE ALA LA",centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
ALA A BANDA SO  ALA  SARA MINGUI,mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
BA SOUKOUGO GBANGBAN TI LO,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
TU ES UN GODOBE / VOYOUX,Nos frères centrafricains ,,,,,,,,,,,,,,,,,,,,,,,,
TU ES BORDELLE, frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
BA LO MBO TI TOUADERA,Soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
BA TA GNAMA SO HEIN,Mon frère de chœur; ,,,,,,,,,,,,,,,,,,,,,,,,
MO YE TI MO TI SOUKOULA NGOU APE,Prostituée;,,,,,,,,,,,,,,,,,,,,,,,,
MO ETRANGER LA SI MO DUTI KPO APE SO ?,non déchiffré,,,,,,,,,,,,,,,,,,,,,,,,
BA LO NYAMA,Villageois,,,,,,,,,,,,,,,,,,,,,,,,
ZO TI LOUKOUNDOU LA,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,,,,,,,,,
A LA A GA GANGO SO,de l'ethnique banda,,,,,,,,,,,,,,,,,,,,,,,,
KA WALI TI A SELEKA NI SO MA,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,,,,,,,,,
MBI YE ZO TI KOUTA BE APE,Femme; ,,,,,,,,,,,,,,,,,,,,,,,,
ZO TI YA TI LI LA,Milice musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
TU ES UN LANGBA,mon ami,,,,,,,,,,,,,,,,,,,,,,,,
MOLENGUE TI OMBA TI MBI LA,Nos frères; ,,,,,,,,,,,,,,,,,,,,,,,,
LO SO ZO TI PROBLEME LA,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,,,,,,,,,
BA KPANDA LO,Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
BA TA LO KORORO,Tu es mon frère,,,,,,,,,,,,,,,,,,,,,,,,
MO GBA SOUS COUVERT SO KOUE MO TENE MO ZA YANGA NA ZO,Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
"HON NA NI KA , MO YEKE TI MO BANDA .",vous mes frères,,,,,,,,,,,,,,,,,,,,,,,,
MO MBORORO ANGUE TI MO,Mon frère,,,,,,,,,,,,,,,,,,,,,,,,
BA WANDE SO LA KA SO,mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
SARANGA TI LO SO HON NDONI,frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
TA MO SO MO GA LAWA,Nos sœurs; ,,,,,,,,,,,,,,,,,,,,,,,,
YA NDATA MO,centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
BA BOUBE TI MO SO SI,mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
ALA NI SO A GA LAWA,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
PIYOLE,Nos frères centrafricains ,,,,,,,,,,,,,,,,,,,,,,,,
BA LO ZO TI MBANA, frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
BA LO YANGA O,Soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
"HUM MO SO , MO YEKE TI MO ZO TI TERE TI TOUADERA SO PARDON",Mon frère de chœur; ,,,,,,,,,,,,,,,,,,,,,,,,
BA LO ARABO KRIDJI,Prostituée;,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I SO A TENE ALA KAE AZO TI TENGO ZO,non déchiffré,,,,,,,,,,,,,,,,,,,,,,,,
"BA TA LO SO NA VESTE SO , KOTA ESCROC",Villageois,,,,,,,,,,,,,,,,,,,,,,,,
"BA LO MA, LO GUI ZO TI NDJI A.",tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,,,,,,,,,
BA GUINGO LO,de l'ethnique banda,,,,,,,,,,,,,,,,,,,,,,,,
LO TI LO BOUBA MINGUI ;,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,,,,,,,,,
"KA I TENE TI I GNE , A WALI TI A TAXI MOTO",Femme; ,,,,,,,,,,,,,,,,,,,,,,,,
KA MO YE APE MO SALA GBAGBA NA TERE TI ME TI MO MA,Milice musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
"LINKOUNDOU TI ALA NI SO , APEU ANDE TI TE MBI APE",mon ami,,,,,,,,,,,,,,,,,,,,,,,,
LO MANDJA SO ME,Nos frères; ,,,,,,,,,,,,,,,,,,,,,,,,
KPI TI LI LO SO A YEKE TI LO DAPE,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,,,,,,,,,
BA LO PINDOUGOU,Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
BA LO TOUBE,Tu es mon frère,,,,,,,,,,,,,,,,,,,,,,,,
BA LO WALI NDOMO,Ma soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
BA LO BENGUE,vous mes frères,,,,,,,,,,,,,,,,,,,,,,,,
LO SO ARABO LA,Mon frère,,,,,,,,,,,,,,,,,,,,,,,,
"MO SO , BA LO A YORO KEKE NA YA TI MO",mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
HUM MO SO KOUE I PEU TI DIKO MO NA MILIEU TI AZO,frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
"BA LE TI LO , ZO TI YORO",Nos sœurs; ,,,,,,,,,,,,,,,,,,,,,,,,
MO SOUKOULA LI GA SI,centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
HON ALA ZA I ; TEMPS TI ALA A HON AWE,mon frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
ALA A BABA SO LAKOUE GUI ALA LA,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
"ALA SO LANI, MO BA ALA? ALA TENE ALA LA;",Nos frères centrafricains ,,,,,,,,,,,,,,,,,,,,,,,,
LE TI MO A BE SO MO MENE TRAMOL AWE LA, frère centrafricain,,,,,,,,,,,,,,,,,,,,,,,,
BA LO TRAMOLIE,Soeur; ,,,,,,,,,,,,,,,,,,,,,,,,
BA LO FAUX,Mon frère de chœur; ,,,,,,,,,,,,,,,,,,,,,,,,
"NDJONI MA COMME MO TENE TONGASO , MBI WARA NGUINDJA TI MBI APE , MBI YEKE FA MO",Prostituée;,,,,,,,,,,,,,,,,,,,,,,,,
BA LO KOTA ZO TI NDJI,non déchiffré,,,,,,,,,,,,,,,,,,,,,,,,
MO KE DJACK,Villageois,,,,,,,,,,,,,,,,,,,,,,,,
IRI TI MO GRACE NA BALAKA,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,,,,,,,,,
I TIRI LANI GUE SO MO YEKE DA ?,de l'ethnique banda,,,,,,,,,,,,,,,,,,,,,,,,
ALA SO TEMPS TI ALA A HON AWE,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,,,,,,,,,
HO IRI LO APE ZO TI TOUADERA LA,Femme; ,,,,,,,,,,,,,,,,,,,,,,,,
EST CE QUE MO BA ZO TI NIVO TI MO AZ YEKE GUE?,Milice musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
MO SO MO INGA TI MO NDO APE,mon ami,,,,,,,,,,,,,,,,,,,,,,,,
HE MO MBI PROMOTION TI MO APE,Nos frères; ,,,,,,,,,,,,,,,,,,,,,,,,
MO TI MO ZO TI SALTE,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,,,,,,,,,
